2023-07-20 11:24:49 INFO  AccountIndexerProcessor:87 - Account (id=6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz, 7) has been indexed
2023-07-20 11:24:49 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3', accountType=META_DATA, tokens=321, callbackTimeMs=4700, data=Data{img='null', expiry=null, currentBid=null, mintId='ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3'}, version=0} ***
2023-07-20 11:24:49 INFO  ProcessAccountRunnable:28 - processAccountType() - Account 6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz
2023-07-20 11:24:49 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 8400 milliseconds
2023-07-20 11:24:50 INFO  ProcessAccountRunnable:53 - Account gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n, version: 5 has been ingested
2023-07-20 11:24:50 INFO  ProcessAccountRunnable:53 - Account U5kG5d2y4MJJEAxzzx8dCCLWJzzNs47eSo4Uo43eQVRg, version: 1 has been ingested
2023-07-20 11:24:50 INFO  DynamicLoadDriver:49 - Going to handle account ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3
2023-07-20 11:24:50 INFO  AccountIndexerProcessor:87 - Account (id=ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3, 0) has been indexed
2023-07-20 11:24:50 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='U5kG5d2y4MJJEAxzzx8dCCLWJzzNs47eSo4Uo43eQVRg', accountType=MASTER_EDITION, tokens=220, callbackTimeMs=7100, data=Data{img='https://arweave.net/ma8mnrstnBXhkzbLUuySMMTNiXeWVKpJZBd1pdEErsBd', expiry=null, currentBid=null, mintId='null'}, version=0} ***
2023-07-20 11:24:50 INFO  ProcessAccountRunnable:28 - processAccountType() - Account ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3
2023-07-20 11:24:50 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 4700 milliseconds
2023-07-20 11:24:51 INFO  DynamicLoadDriver:49 - Going to handle account U5kG5d2y4MJJEAxzzx8dCCLWJzzNs47eSo4Uo43eQVRg
2023-07-20 11:24:51 INFO  AccountIndexerProcessor:87 - Account (id=U5kG5d2y4MJJEAxzzx8dCCLWJzzNs47eSo4Uo43eQVRg, 0) has been indexed
2023-07-20 11:24:51 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='foXSdE2dWiip5Tw42QY94hcKSZRLZAaUmuSpYqsjANN8', accountType=META_DATA, tokens=528, callbackTimeMs=1600, data=Data{img='https://arweave.net/5Rmtdr4Xp5qtzevMZZ991T2fqmRCNGT1FVhRHAW3z4YL', expiry=null, currentBid=null, mintId='null'}, version=7} ***
2023-07-20 11:24:51 INFO  ProcessAccountRunnable:28 - processAccountType() - Account U5kG5d2y4MJJEAxzzx8dCCLWJzzNs47eSo4Uo43eQVRg
2023-07-20 11:24:51 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 7100 milliseconds
2023-07-20 11:24:51 INFO  ProcessAccountRunnable:53 - Account cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m, version: 1 has been ingested
2023-07-20 11:24:52 INFO  DynamicLoadDriver:49 - Going to handle account foXSdE2dWiip5Tw42QY94hcKSZRLZAaUmuSpYqsjANN8
2023-07-20 11:24:52 INFO  AccountIndexerProcessor:87 - Account (id=foXSdE2dWiip5Tw42QY94hcKSZRLZAaUmuSpYqsjANN8, 7) has been indexed
2023-07-20 11:24:52 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='2jymzXN3APMp3kjc44ESN35jFomF7hM59Ue8BMSv7pUG', accountType=AUCTION, tokens=394, callbackTimeMs=3000, data=Data{img='null', expiry=-1, currentBid=691, mintId='null'}, version=0} ***
2023-07-20 11:24:52 INFO  ProcessAccountRunnable:28 - processAccountType() - Account foXSdE2dWiip5Tw42QY94hcKSZRLZAaUmuSpYqsjANN8
2023-07-20 11:24:52 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 1600 milliseconds
2023-07-20 11:24:52 INFO  DynamicLoadDriver:49 - Going to handle account 2jymzXN3APMp3kjc44ESN35jFomF7hM59Ue8BMSv7pUG
2023-07-20 11:24:52 INFO  AccountIndexerProcessor:87 - Account (id=2jymzXN3APMp3kjc44ESN35jFomF7hM59Ue8BMSv7pUG, 0) has been indexed
2023-07-20 11:24:52 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m', accountType=AUCTION_DATA, tokens=590, callbackTimeMs=8100, data=Data{img='null', expiry=-1, currentBid=594, mintId='null'}, version=0} ***
2023-07-20 11:24:52 INFO  ProcessAccountRunnable:28 - processAccountType() - Account 2jymzXN3APMp3kjc44ESN35jFomF7hM59Ue8BMSv7pUG
2023-07-20 11:24:52 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 3000 milliseconds
2023-07-20 11:24:53 INFO  DynamicLoadDriver:49 - Going to handle account cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m
2023-07-20 11:24:53 INFO  AccountIndexerProcessor:87 - Account (id=cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m, 0) has been indexed
2023-07-20 11:24:53 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n', accountType=ACCOUNT, tokens=232, callbackTimeMs=4700, data=Data{img='null', expiry=null, currentBid=null, mintId='null'}, version=7} ***
2023-07-20 11:24:53 INFO  ProcessAccountRunnable:28 - processAccountType() - Account cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m
2023-07-20 11:24:53 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 8100 milliseconds
2023-07-20 11:24:53 INFO  DynamicLoadDriver:49 - Going to handle account gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n
2023-07-20 11:24:53 INFO  AccountIndexerProcessor:87 - Account (id=gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n, 7) has been indexed
2023-07-20 11:24:53 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3', accountType=ESCROW, tokens=443, callbackTimeMs=5200, data=Data{img='null', expiry=null, currentBid=null, mintId='null'}, version=0} ***
2023-07-20 11:24:53 INFO  ProcessAccountRunnable:28 - processAccountType() - Account gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n
2023-07-20 11:24:53 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 4700 milliseconds
2023-07-20 11:24:53 INFO  DynamicLoadDriver:49 - Going to handle account A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3
2023-07-20 11:24:53 INFO  AccountIndexerProcessor:87 - Account (id=A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3, 0) has been indexed
2023-07-20 11:24:53 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz', accountType=MINT, tokens=848, callbackTimeMs=6700, data=Data{img='null', expiry=null, currentBid=null, mintId='6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz'}, version=9} ***
2023-07-20 11:24:53 INFO  ProcessAccountRunnable:28 - processAccountType() - Account A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3
2023-07-20 11:24:53 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 5200 milliseconds
2023-07-20 11:24:54 INFO  DynamicLoadDriver:49 - Going to handle account 6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz
2023-07-20 11:24:54 INFO  AccountIndexerProcessor:71 - The previous version 7 has not been ingested.  Cancel old callback in favor of the new one
2023-07-20 11:24:54 INFO  ProcessAccountRunnable:59 - Going to stop callback for Account 6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFozversion 7
2023-07-20 11:24:54 INFO  AccountIndexerProcessor:87 - Account (id=6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz, 9) has been indexed
2023-07-20 11:24:54 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3', accountType=META_DATA, tokens=995, callbackTimeMs=2900, data=Data{img='null', expiry=null, currentBid=null, mintId='ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3'}, version=3} ***
2023-07-20 11:24:54 INFO  ProcessAccountRunnable:28 - processAccountType() - Account 6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz
2023-07-20 11:24:54 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 6700 milliseconds
2023-07-20 11:24:54 INFO  ProcessAccountRunnable:53 - Account foXSdE2dWiip5Tw42QY94hcKSZRLZAaUmuSpYqsjANN8, version: 7 has been ingested
2023-07-20 11:24:55 INFO  DynamicLoadDriver:49 - Going to handle account ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3
2023-07-20 11:24:55 INFO  AccountIndexerProcessor:71 - The previous version 0 has not been ingested.  Cancel old callback in favor of the new one
2023-07-20 11:24:55 INFO  ProcessAccountRunnable:59 - Going to stop callback for Account ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3version 0
2023-07-20 11:24:55 INFO  AccountIndexerProcessor:87 - Account (id=ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3, 3) has been indexed
